Contract;Last trade date;Strike;Last Price;Bid;Ask;Change;% Change;Volume;Open interest;Implied Vol
JNJ201113P00115000;2020-11-06 2:38PM EST;115.00;0.03;0.00;0.07;0.00;-;5;83;115.63%
JNJ201113P00120000;2020-11-06 10:48AM EST;120.00;0.06;0.00;0.24;0.00;-;2;374;116.80%
JNJ201113P00125000;2020-11-09 12:24PM EST;125.00;0.02;0.00;0.02;0.00;-;6;308;70.31%
JNJ201113P00126000;2020-11-05 11:52AM EST;126.00;0.08;0.00;2.59;0.00;-;10;25;159.86%
JNJ201113P00128000;2020-11-06 10:27AM EST;128.00;0.06;0.00;0.12;0.00;-;14;297;76.95%
JNJ201113P00129000;2020-11-09 2:55PM EST;129.00;0.01;0.01;4.20;0.00;-;8;339;169.48%
JNJ201113P00130000;2020-11-09 12:14PM EST;130.00;0.03;0.00;0.12;0.00;-;8;209;69.92%
JNJ201113P00131000;2020-11-10 9:30AM EST;131.00;0.17;0.00;0.21;-0.04;-19.05%;1;100;72.46%
JNJ201113P00132000;2020-11-09 10:54AM EST;132.00;0.09;0.00;0.16;0.00;-;23;787;65.63%
JNJ201113P00133000;2020-11-09 2:18PM EST;133.00;0.09;0.00;0.24;0.00;-;32;250;66.60%
JNJ201113P00134000;2020-11-10 2:46PM EST;134.00;0.01;0.00;0.15;-0.03;-75.00%;19;58;57.81%
JNJ201113P00135000;2020-11-10 9:30AM EST;135.00;0.10;0.00;0.10;+0.06;+150.00%;1;635;50.78%
JNJ201113P00136000;2020-11-10 11:03AM EST;136.00;0.03;0.00;0.47;0.00;-;7;226;63.28%
JNJ201113P00137000;2020-11-10 2:46PM EST;137.00;0.01;0.00;0.10;-0.03;-75.00%;169;155;49.41%
JNJ201113P00138000;2020-11-10 2:49PM EST;138.00;0.05;0.00;0.10;+0.02;+66.67%;30;1,116;45.70%
JNJ201113P00139000;2020-11-10 3:17PM EST;139.00;0.06;0.00;0.08;-0.04;-40.00%;1;167;40.23%
JNJ201113P00140000;2020-11-10 3:59PM EST;140.00;0.05;0.00;0.10;-0.03;-37.50%;89;394;38.09%
JNJ201113P00141000;2020-11-10 2:55PM EST;141.00;0.07;0.01;0.10;-0.08;-53.33%;106;227;34.38%
JNJ201113P00142000;2020-11-10 3:51PM EST;142.00;0.09;0.05;0.13;-0.23;-71.88%;108;422;32.23%
JNJ201113P00143000;2020-11-10 2:58PM EST;143.00;0.17;0.09;0.17;-0.16;-48.48%;43;198;30.08%
JNJ201113P00144000;2020-11-10 2:21PM EST;144.00;0.25;0.16;0.29;-0.36;-59.02%;51;217;30.18%
JNJ201113P00145000;2020-11-10 3:27PM EST;145.00;0.31;0.30;0.44;-0.21;-40.38%;62;161;29.44%
JNJ201113P00146000;2020-11-10 3:35PM EST;146.00;0.50;0.49;0.65;-0.90;-64.29%;258;118;28.71%
JNJ201113P00147000;2020-11-10 3:41PM EST;147.00;0.85;0.79;0.93;-0.35;-29.17%;558;542;27.78%
JNJ201113P00148000;2020-11-10 3:56PM EST;148.00;1.25;1.17;1.42;-0.36;-22.36%;681;69;29.05%
JNJ201113P00149000;2020-11-10 3:47PM EST;149.00;1.62;1.61;1.84;-0.75;-31.65%;3;14;27.00%
JNJ201113P00150000;2020-11-10 3:51PM EST;150.00;2.20;2.11;2.70;-5.48;-71.35%;5;18;31.59%
JNJ201113P00152500;2020-11-10 2:47PM EST;152.50;4.37;4.00;4.65;-1.28;-22.65%;1;30;33.25%
JNJ201113P00155000;2020-11-02 2:56PM EST;155.00;7.26;4.55;8.70;0.00;-;1;3;83.50%
JNJ201113P00157500;2020-11-02 2:56PM EST;157.50;19.35;8.95;10.40;0.00;-;7;1;56.35%
JNJ201113P00160000;2020-11-02 10:16AM EST;160.00;21.50;10.50;12.75;0.00;-;-;0;85.50%
